id,ipk_smt1,ipk_smt2,ipk_smt3,ipk_smt4,ipk_smt5,ipk_smt6,ipk_smt7,ipk_smt8,kehadiran_mk1,kehadiran_mk2,kehadiran_mk3,kehadiran_mk4,kehadiran_mk5,kehadiran_mk6,retake,online_activity1,online_activity2,online_activity3,online_activity4,online_activity5,online_activity6,status_pekerjaan,beban_kerja,sosial_ekonomi
488.0,2.93,2.13,2.87,2.54,2.36,4.0,2.57,2.64,94.0,77.3,89.0,90.1,87.4,100.0,1.0,3.4,8.1,5.9,6.8,5.7,8.8,Penuh Waktu,41.0,Rendah
489.0,3.61,3.17,2.66,2.19,2.55,2.67,2.09,3.29,90.7,74.5,67.2,92.2,68.6,85.8,1.0,4.2,6.6,6.6,3.4,6.8,4.4,Penuh Waktu,34.0,Menengah
490.0,2.85,2.7,2.59,2.35,2.9,3.01,1.54,4.0,66.9,79.8,59.4,82.3,80.4,79.9,1.0,5.6,4.5,6.1,2.5,5.2,3.7,Paruh Waktu,10.0,Menengah
491.0,2.45,2.91,2.48,2.98,3.36,2.39,2.68,2.98,80.6,89.6,90.6,95.8,78.9,75.6,0.0,4.4,3.1,6.1,2.7,9.7,7.6,Penuh Waktu,30.0,Rendah
492.0,3.38,2.54,2.8,2.91,2.84,3.5,2.39,2.7,87.3,84.5,72.8,70.3,70.1,92.3,1.0,3.4,5.9,5.2,3.1,3.1,5.3,Penuh Waktu,38.0,Menengah
493.0,2.58,3.2,2.86,3.2,2.59,3.41,2.67,2.26,100.0,66.8,77.6,78.7,100.0,100.0,1.0,8.0,4.3,9.9,5.7,7.0,5.4,Tidak Bekerja,0.0,Menengah
494.0,2.93,2.73,3.5,1.27,3.0,3.11,3.32,2.72,87.1,94.9,99.9,82.0,87.7,100.0,1.0,0.8,3.6,7.9,7.2,6.0,4.1,Tidak Bekerja,0.0,Rendah
495.0,2.8,2.37,3.17,2.48,2.7,1.91,1.94,2.75,71.7,100.0,64.4,77.0,85.2,81.3,1.0,2.8,3.1,3.0,4.4,8.9,5.2,Paruh Waktu,14.0,
496.0,2.45,1.97,2.81,3.68,2.81,2.86,3.24,2.83,97.0,98.5,79.1,,91.9,88.2,1.0,2.9,3.6,3.6,5.3,7.0,7.1,Tidak Bekerja,0.0,Menengah
497.0,2.56,2.07,2.58,2.97,1.96,2.27,2.52,2.36,76.4,96.2,68.5,86.8,90.2,80.2,1.0,4.5,4.9,6.3,8.1,2.4,3.2,Tidak Bekerja,0.0,Tinggi
498.0,2.55,3.08,2.42,2.31,2.37,2.81,3.23,2.73,79.4,74.7,99.6,67.4,83.1,92.4,0.0,4.6,3.9,,2.8,1.5,5.7,Paruh Waktu,13.0,Tinggi
499.0,2.64,,2.4,3.14,2.14,3.34,3.78,2.8,100.0,100.0,81.8,85.5,76.9,77.5,1.0,5.5,1.7,6.7,5.3,6.4,4.6,Paruh Waktu,11.0,Menengah
500.0,2.7,3.55,2.59,2.62,2.3,2.56,1.88,1.69,91.2,67.5,89.1,80.0,94.4,67.8,1.0,6.2,5.7,5.7,7.2,5.1,0.1,Paruh Waktu,12.0,Rendah
501.0,1.82,2.37,3.61,2.0,2.75,2.77,2.49,2.53,85.7,79.4,70.8,87.2,95.7,93.7,1.0,3.4,2.5,4.4,8.1,6.3,6.4,Paruh Waktu,10.0,Menengah
502.0,2.86,2.06,2.2,2.59,2.6,2.93,2.69,3.15,88.2,100.0,93.3,73.2,83.5,84.2,1.0,5.9,7.2,5.6,,2.7,4.1,Penuh Waktu,47.0,Rendah
503.0,2.66,3.83,3.46,2.1,2.85,3.12,2.52,3.36,95.9,84.2,94.8,60.9,98.6,93.9,1.0,2.8,5.5,0.9,3.5,7.2,5.0,Paruh Waktu,14.0,Rendah
504.0,2.72,2.51,3.29,1.83,3.02,2.47,3.16,3.28,62.2,82.9,85.6,61.4,87.3,79.7,0.0,2.6,3.7,3.4,3.9,5.4,7.0,Penuh Waktu,49.0,
,2.88,2.24,2.16,2.41,2.42,3.81,3.53,1.92,65.7,84.1,100.0,91.7,84.7,80.4,0.0,7.2,5.4,8.5,1.6,5.8,3.9,Paruh Waktu,12.0,Menengah
506.0,2.68,3.13,2.27,2.48,,2.64,1.75,2.35,91.3,72.7,95.0,93.7,94.6,85.0,2.0,4.8,5.6,7.6,7.5,1.7,3.3,Penuh Waktu,31.0,Menengah
507.0,3.24,3.15,3.14,2.98,3.76,2.77,3.04,2.02,76.8,73.0,97.7,59.5,81.0,55.1,2.0,3.3,4.0,7.8,5.8,3.3,,Penuh Waktu,45.0,Rendah
508.0,2.49,2.35,1.86,2.84,2.98,2.46,2.89,2.06,94.7,79.7,87.9,87.1,65.4,93.3,0.0,3.4,5.4,2.2,4.0,5.7,,Penuh Waktu,48.0,Rendah
509.0,2.79,3.19,4.0,3.61,2.49,2.02,2.55,2.28,89.5,73.2,84.3,93.4,84.0,75.5,0.0,7.3,1.2,4.3,4.9,5.0,5.4,Tidak Bekerja,0.0,Tinggi
510.0,3.01,2.49,3.15,2.43,2.05,2.79,3.1,3.39,90.0,79.7,98.9,96.6,87.7,97.1,1.0,9.4,3.9,3.2,3.9,2.3,6.2,Tidak Bekerja,0.0,Rendah
511.0,2.41,3.43,1.47,2.56,2.1,3.43,3.59,1.58,93.7,95.7,88.3,90.9,90.2,93.7,1.0,2.8,7.4,5.4,5.3,6.1,2.5,Tidak Bekerja,0.0,Tinggi
512.0,3.52,2.16,,2.39,2.32,3.0,3.13,2.36,98.9,89.2,82.6,88.5,100.0,92.5,1.0,3.6,5.0,5.3,6.3,5.5,8.8,Penuh Waktu,32.0,Rendah
513.0,2.12,2.13,2.78,2.88,2.35,2.7,2.32,2.95,70.2,86.7,87.4,100.0,67.5,100.0,1.0,6.5,8.7,6.8,3.1,6.3,3.7,Tidak Bekerja,0.0,Menengah
514.0,2.97,3.26,2.05,1.81,3.3,3.26,2.86,2.96,93.7,86.8,90.4,93.1,84.1,81.5,2.0,5.8,9.5,3.3,4.1,1.5,5.9,Tidak Bekerja,0.0,Rendah
515.0,2.75,2.23,3.05,3.32,2.57,2.0,2.61,2.9,63.4,89.8,81.3,85.4,82.1,77.5,1.0,4.8,4.0,4.3,,6.1,7.5,Tidak Bekerja,0.0,Rendah
516.0,2.86,2.46,2.71,3.18,1.95,2.1,3.04,2.78,84.3,94.4,92.0,100.0,,90.3,0.0,4.9,4.7,5.0,5.4,2.6,5.5,Penuh Waktu,47.0,Menengah
517.0,3.01,3.71,2.95,2.54,2.04,2.3,2.98,3.29,87.6,93.0,92.1,90.1,78.4,86.7,0.0,3.3,5.0,5.7,8.4,2.4,6.0,Paruh Waktu,18.0,Rendah
518.0,2.48,2.25,3.16,2.79,3.67,2.93,3.39,2.39,77.6,100.0,78.9,75.5,73.3,100.0,2.0,4.5,5.8,5.3,3.6,4.4,6.7,Paruh Waktu,10.0,Menengah
519.0,3.42,2.06,1.83,2.87,2.46,3.19,2.59,2.82,85.8,86.1,79.6,71.4,82.8,99.5,2.0,3.8,3.8,5.3,2.6,,2.8,Paruh Waktu,13.0,Menengah
520.0,2.73,3.44,2.44,2.6,,2.49,2.78,3.2,91.5,78.9,78.0,76.4,85.9,69.2,,3.2,4.1,7.1,4.7,7.0,5.4,Tidak Bekerja,0.0,Rendah
521.0,3.31,3.05,2.1,2.52,2.26,2.81,2.29,2.41,76.0,82.6,85.7,82.9,100.0,93.1,3.0,3.4,5.7,3.6,4.2,6.0,6.3,Tidak Bekerja,0.0,Rendah
522.0,3.07,2.42,3.32,3.33,3.78,3.61,2.3,3.21,93.8,81.5,89.5,66.2,65.9,67.9,1.0,5.8,5.9,4.5,8.4,7.0,1.8,Penuh Waktu,35.0,Rendah
523.0,2.57,2.71,2.31,2.82,3.0,3.09,1.57,2.09,82.0,90.7,89.9,89.7,81.2,81.7,0.0,3.5,6.5,3.2,6.7,5.4,4.9,Tidak Bekerja,0.0,Rendah
524.0,2.74,2.25,3.5,2.28,2.84,3.41,2.8,2.57,86.5,79.4,75.0,91.1,79.2,94.4,0.0,6.6,5.3,6.9,3.9,6.6,6.6,Paruh Waktu,12.0,Rendah
525.0,2.91,3.73,2.63,2.52,3.34,2.78,3.18,3.49,65.9,84.6,82.7,75.4,65.8,69.1,0.0,5.2,3.9,3.4,5.2,3.6,7.6,Paruh Waktu,19.0,Menengah
526.0,2.8,3.26,2.53,3.09,2.97,3.51,2.69,2.47,,73.9,80.0,61.6,98.7,100.0,1.0,4.7,5.9,5.3,2.4,7.1,7.4,Paruh Waktu,14.0,Menengah
527.0,2.67,2.35,3.52,3.3,3.24,2.69,2.23,3.41,88.4,92.7,91.2,88.1,100.0,78.4,2.0,4.4,8.3,5.2,4.7,4.5,6.4,Tidak Bekerja,0.0,Rendah
528.0,2.89,2.32,2.41,3.49,2.28,3.34,2.44,3.32,90.4,81.5,67.3,89.0,86.8,89.1,1.0,6.1,2.4,5.8,6.5,6.5,2.5,Paruh Waktu,18.0,Menengah
529.0,2.54,2.61,,2.47,2.33,3.47,3.33,3.24,88.1,88.9,76.9,86.4,75.6,74.5,2.0,1.8,5.8,5.3,4.4,4.1,1.3,Tidak Bekerja,0.0,Menengah
530.0,3.1,2.81,2.21,2.03,2.8,2.48,3.21,3.12,83.2,73.4,90.1,74.8,77.4,75.2,1.0,4.7,7.3,5.0,4.1,1.9,6.1,Paruh Waktu,15.0,
531.0,2.69,3.28,2.92,2.58,2.34,1.86,2.2,3.43,93.6,87.9,80.1,97.4,74.9,75.0,1.0,4.8,0.6,2.9,4.5,4.1,3.0,Paruh Waktu,17.0,Menengah
532.0,3.57,2.29,2.64,2.49,2.36,2.31,2.43,2.45,81.4,80.7,92.6,91.7,69.7,,1.0,7.5,5.6,5.7,5.5,4.5,4.9,Penuh Waktu,39.0,Rendah
533.0,2.72,1.82,3.3,1.75,3.27,3.19,2.2,3.38,81.7,79.1,80.8,81.6,82.6,82.8,0.0,3.2,3.7,3.9,8.3,3.9,3.7,Tidak Bekerja,0.0,Menengah
534.0,3.18,1.94,2.99,2.01,2.55,2.7,3.13,2.66,74.9,73.2,86.7,78.7,80.9,,3.0,5.9,8.2,3.0,3.6,5.4,8.6,Paruh Waktu,18.0,Rendah
535.0,3.59,3.03,2.95,2.87,2.51,2.74,2.39,2.73,61.6,89.3,83.8,81.6,87.2,70.7,0.0,8.9,4.8,4.7,3.1,5.0,7.8,Paruh Waktu,15.0,Rendah
536.0,,2.39,2.92,2.99,1.97,2.29,2.16,2.86,93.7,74.3,93.7,75.8,92.2,82.2,0.0,4.1,7.3,8.6,1.1,6.2,5.4,Tidak Bekerja,0.0,Menengah
537.0,3.2,2.89,3.11,1.74,2.21,3.65,2.62,3.13,77.5,80.6,100.0,83.4,90.2,86.3,1.0,5.5,5.4,1.0,6.0,3.9,8.6,Tidak Bekerja,0.0,Rendah
538.0,2.26,2.84,2.14,2.88,2.35,3.68,2.96,3.01,94.5,95.6,78.1,85.9,80.5,100.0,0.0,0.4,3.8,4.8,5.3,5.2,4.9,Penuh Waktu,35.0,Tinggi
539.0,2.98,3.65,3.64,2.9,2.5,2.54,2.09,3.23,84.6,89.4,88.3,78.0,76.8,80.5,1.0,6.0,4.8,1.5,3.0,4.5,4.9,Tidak Bekerja,0.0,Menengah
540.0,3.01,2.77,2.57,2.55,2.85,2.96,2.59,2.21,84.0,78.5,87.9,99.8,71.5,96.5,0.0,5.9,7.2,4.1,2.1,5.4,7.8,Tidak Bekerja,0.0,Rendah
541.0,2.91,3.37,3.12,2.96,,2.09,2.92,,79.0,81.3,96.1,81.1,82.3,84.1,0.0,6.3,5.6,5.4,8.0,4.2,3.1,Paruh Waktu,16.0,Rendah
542.0,2.11,2.87,2.02,,2.49,2.05,3.3,3.88,89.4,,75.4,87.6,91.4,85.1,4.0,6.8,8.0,2.5,5.6,1.2,3.4,Penuh Waktu,48.0,Menengah
543.0,2.48,3.18,3.01,2.33,3.18,2.91,2.84,2.52,74.0,80.8,80.6,93.5,68.5,99.7,2.0,8.1,3.7,7.8,3.0,7.3,3.4,Tidak Bekerja,0.0,Menengah
544.0,1.85,2.14,2.4,2.8,2.8,2.81,3.17,1.79,83.6,87.7,81.7,86.9,,85.6,1.0,9.3,6.9,5.5,6.0,6.5,8.4,Paruh Waktu,15.0,Tinggi
545.0,3.01,2.49,2.51,3.09,2.19,2.38,2.75,3.2,,100.0,71.5,100.0,97.0,70.7,0.0,1.7,6.4,4.2,3.0,8.6,2.6,Penuh Waktu,48.0,Rendah
546.0,1.35,2.8,2.29,3.16,3.22,2.87,2.87,2.83,78.0,78.9,98.2,92.4,87.1,91.0,0.0,4.9,5.4,6.2,0.9,6.8,6.7,Paruh Waktu,11.0,Menengah
547.0,2.77,2.6,2.76,3.04,1.85,3.25,2.54,3.26,91.4,80.7,84.2,84.8,100.0,73.6,0.0,4.1,1.8,5.2,3.8,4.0,8.0,Tidak Bekerja,0.0,Rendah
548.0,2.72,2.14,3.07,2.77,2.83,2.4,3.62,4.0,82.2,88.5,86.0,82.4,76.7,74.2,2.0,2.7,5.8,4.0,0.0,5.9,4.9,Tidak Bekerja,0.0,Tinggi
549.0,3.26,2.69,2.62,2.94,2.74,2.04,2.6,3.08,98.1,94.6,88.3,99.6,89.2,84.1,0.0,8.0,6.4,7.6,2.6,3.3,3.4,Paruh Waktu,13.0,Menengah
550.0,2.15,3.81,1.95,3.12,3.19,3.06,2.31,2.22,97.7,95.5,95.3,96.6,69.6,69.3,1.0,3.7,4.0,3.8,5.6,7.2,4.4,Tidak Bekerja,0.0,Rendah
551.0,2.34,3.16,2.61,2.8,2.58,2.92,2.24,3.11,84.7,77.4,90.3,77.3,77.8,73.0,1.0,1.6,6.1,7.3,4.1,3.4,1.4,Paruh Waktu,19.0,Rendah
552.0,2.41,2.98,2.01,2.76,2.84,2.41,2.7,2.88,90.6,86.0,98.3,96.6,84.7,71.7,2.0,4.0,0.5,4.6,7.8,6.6,5.2,Paruh Waktu,11.0,Rendah
553.0,3.29,2.74,2.18,4.0,2.85,2.94,3.02,2.98,100.0,100.0,75.7,100.0,78.0,88.2,1.0,2.1,7.1,4.4,2.7,7.4,7.9,Tidak Bekerja,0.0,Menengah
554.0,3.54,2.6,3.78,3.06,2.88,2.75,2.74,2.41,74.3,81.4,96.9,71.0,98.4,86.4,3.0,6.6,6.7,6.9,5.0,5.1,6.8,Paruh Waktu,12.0,Rendah
,2.48,2.53,3.29,2.28,2.8,2.12,3.13,2.48,,87.2,60.4,72.0,88.6,95.1,0.0,5.9,5.3,9.8,6.0,2.9,7.0,Tidak Bekerja,0.0,Rendah
556.0,2.52,2.02,3.03,2.13,2.45,2.48,3.25,2.71,60.6,76.0,69.4,90.0,73.2,78.9,1.0,,6.3,2.7,6.7,3.6,6.6,Tidak Bekerja,0.0,Rendah
557.0,3.21,2.94,2.53,1.85,2.43,2.12,3.43,2.55,88.0,81.6,89.3,92.2,100.0,80.4,3.0,7.1,5.6,3.8,4.0,5.9,4.4,Penuh Waktu,44.0,Rendah
558.0,2.13,3.08,2.95,2.23,2.89,3.02,3.26,1.86,91.5,99.1,100.0,72.7,83.5,84.5,1.0,6.4,4.7,3.6,5.4,4.3,6.1,Tidak Bekerja,0.0,Rendah
559.0,3.66,2.71,3.28,2.41,3.0,2.46,3.38,3.31,100.0,82.7,100.0,90.1,85.8,88.4,1.0,8.4,4.7,4.8,0.9,4.7,5.5,Tidak Bekerja,0.0,Rendah
560.0,3.46,2.01,3.14,3.19,3.98,3.27,3.23,2.93,85.0,93.5,97.5,86.7,97.9,100.0,0.0,5.1,5.2,4.8,5.3,7.4,5.2,Tidak Bekerja,0.0,Menengah
561.0,2.97,3.36,2.69,2.06,3.28,3.47,3.2,2.67,95.4,100.0,86.2,71.9,79.1,91.3,,1.8,5.3,5.8,8.1,7.6,6.7,Paruh Waktu,12.0,Tinggi
562.0,2.17,1.74,2.75,2.35,4.0,2.67,3.4,1.97,79.7,86.0,75.9,80.8,82.8,82.7,2.0,8.7,5.8,6.0,6.1,6.2,4.8,Paruh Waktu,11.0,Tinggi
563.0,3.84,2.89,3.15,1.54,3.68,2.78,2.32,2.65,91.6,95.3,84.0,91.0,82.4,89.9,1.0,5.4,5.6,4.4,5.8,3.3,5.4,Tidak Bekerja,0.0,Rendah
564.0,2.4,2.65,2.49,2.95,2.79,3.26,2.71,2.84,100.0,,82.1,97.0,75.4,98.2,0.0,4.5,3.3,6.8,4.5,8.6,5.2,Tidak Bekerja,0.0,Menengah
565.0,2.99,1.93,2.88,3.42,2.57,2.21,2.98,2.84,100.0,89.4,75.6,75.1,93.6,88.6,0.0,4.9,5.3,5.9,5.7,2.0,7.4,Paruh Waktu,17.0,Rendah
566.0,2.36,2.51,1.72,2.39,2.47,2.66,2.82,2.93,84.9,79.2,65.4,79.2,75.3,89.7,1.0,6.8,6.9,6.5,4.7,4.0,3.5,Tidak Bekerja,0.0,Menengah
567.0,2.66,2.13,2.34,2.32,2.77,3.28,2.58,1.62,83.1,83.4,82.8,78.7,87.2,85.7,1.0,5.0,5.8,4.1,4.0,7.8,6.1,Paruh Waktu,19.0,Menengah
568.0,3.14,2.33,1.82,2.63,3.06,3.23,2.12,3.11,96.3,91.1,89.2,83.7,80.4,92.9,2.0,6.2,4.3,10.1,2.0,4.5,3.5,Tidak Bekerja,0.0,Menengah
569.0,3.03,3.25,2.69,3.24,1.73,2.22,2.83,2.91,75.9,87.6,,82.2,95.2,94.1,0.0,3.0,2.9,4.2,4.9,3.7,7.1,Penuh Waktu,33.0,Menengah
570.0,3.37,2.84,3.19,2.49,2.88,1.96,3.06,2.93,72.1,100.0,90.7,,91.6,75.2,1.0,3.3,,3.0,5.9,5.2,6.5,Tidak Bekerja,,Menengah
571.0,2.76,2.86,2.79,2.52,2.55,2.72,3.0,2.79,77.1,76.6,90.1,92.6,95.7,80.1,1.0,1.2,5.8,3.6,4.8,5.3,6.1,Paruh Waktu,13.0,Menengah
572.0,3.03,2.77,2.88,2.45,2.34,3.13,2.64,2.71,87.8,87.7,70.7,97.9,86.2,83.0,1.0,5.9,5.5,6.5,6.1,6.4,7.7,Tidak Bekerja,0.0,Tinggi
573.0,2.63,2.51,1.88,2.92,2.82,1.99,2.98,2.5,100.0,79.3,80.6,76.3,97.8,81.3,1.0,3.6,6.4,2.2,6.3,8.6,6.1,Penuh Waktu,34.0,Menengah
574.0,3.12,2.7,2.53,2.37,1.87,3.07,3.48,2.34,72.3,78.8,87.9,79.9,79.8,84.2,0.0,5.2,5.7,4.4,4.4,1.2,6.9,Paruh Waktu,16.0,Menengah
575.0,1.86,2.4,3.07,3.0,2.78,2.84,1.81,2.56,78.2,78.4,91.0,76.4,79.0,64.1,1.0,4.4,2.8,,3.1,5.2,4.7,Paruh Waktu,11.0,Menengah
576.0,3.63,4.0,3.59,2.64,3.01,3.09,2.92,2.25,87.3,79.9,75.3,81.9,88.2,95.0,2.0,4.5,4.8,6.6,5.1,5.8,5.2,Tidak Bekerja,0.0,Menengah
577.0,3.66,3.42,3.2,3.15,3.1,3.33,2.52,2.07,85.7,76.8,74.4,77.8,100.0,86.4,3.0,5.7,2.6,1.3,3.4,7.9,5.7,Tidak Bekerja,0.0,Tinggi
578.0,2.43,3.45,2.97,1.86,2.38,1.86,3.33,2.74,62.7,88.8,79.6,70.2,100.0,86.1,1.0,4.4,4.2,2.0,2.4,7.6,4.1,Tidak Bekerja,0.0,Menengah
579.0,2.94,3.63,3.42,,2.99,2.59,3.78,3.32,86.7,87.0,99.4,90.8,100.0,63.1,2.0,5.9,4.0,8.5,8.1,5.1,8.1,Paruh Waktu,16.0,
580.0,2.57,2.79,3.45,2.76,,2.93,2.4,3.18,92.0,99.7,94.1,95.9,78.3,93.0,1.0,8.9,3.6,8.6,3.9,3.3,5.6,Paruh Waktu,13.0,Menengah
581.0,3.27,,2.98,3.32,2.7,3.59,2.34,2.54,76.0,93.4,96.1,,71.1,97.3,0.0,3.2,4.2,2.9,5.6,3.5,6.4,Paruh Waktu,16.0,Menengah
582.0,3.03,2.95,2.89,2.94,2.89,2.72,3.51,2.09,95.2,93.2,92.0,96.2,84.1,66.3,1.0,4.9,3.0,3.5,2.5,4.0,3.8,Tidak Bekerja,0.0,Tinggi
583.0,3.86,3.05,2.65,2.72,2.54,2.8,2.73,2.33,100.0,70.1,92.2,84.0,100.0,88.4,0.0,4.3,4.5,5.1,2.7,3.5,1.4,Penuh Waktu,49.0,Menengah
584.0,2.9,1.76,2.68,3.03,2.67,2.43,2.54,2.48,78.6,86.7,100.0,77.6,81.8,84.5,2.0,3.6,7.2,0.3,3.9,6.6,4.4,Paruh Waktu,14.0,Menengah
585.0,2.28,1.8,2.37,2.65,2.93,3.39,2.91,3.88,86.2,86.0,88.4,88.8,,72.7,1.0,6.7,10.0,3.2,4.9,2.3,6.5,Tidak Bekerja,0.0,
586.0,3.54,2.33,2.68,2.57,3.24,3.08,3.05,2.34,91.8,94.3,91.5,72.1,73.7,100.0,0.0,8.9,4.9,4.9,5.3,6.2,2.1,,0.0,Menengah
587.0,3.94,2.66,2.17,,2.92,3.75,2.3,1.67,100.0,100.0,92.6,89.3,85.7,91.8,2.0,6.3,5.6,3.1,5.6,4.8,3.4,Tidak Bekerja,0.0,Menengah
588.0,2.84,2.84,3.11,3.48,2.71,2.79,2.57,3.03,84.9,96.6,96.3,88.2,84.2,82.3,0.0,6.0,6.0,4.5,5.6,3.5,,Paruh Waktu,18.0,Rendah
589.0,1.47,2.34,2.46,2.71,3.4,2.4,3.46,2.32,73.9,66.2,91.1,85.9,90.5,86.3,0.0,5.0,5.6,9.3,4.1,9.1,6.7,Penuh Waktu,35.0,Menengah
590.0,2.2,2.77,2.31,2.7,2.92,2.07,2.52,2.41,75.3,81.2,78.8,93.7,77.8,89.5,1.0,5.8,2.0,4.0,4.8,5.5,4.5,Paruh Waktu,10.0,Menengah
591.0,2.44,2.92,3.64,3.66,2.46,2.88,2.04,3.16,100.0,85.4,78.3,88.6,89.2,85.8,1.0,5.4,4.7,7.0,6.5,3.0,3.0,Penuh Waktu,35.0,Rendah
592.0,3.03,3.33,2.9,2.95,2.62,2.31,2.54,3.46,91.3,89.1,66.8,88.1,71.7,72.4,2.0,2.7,3.5,6.7,5.5,3.1,3.8,Penuh Waktu,36.0,Menengah
593.0,2.6,2.18,2.8,2.67,1.91,2.22,3.68,2.79,98.5,88.1,97.4,90.6,75.5,91.1,1.0,3.1,6.9,5.4,5.0,4.1,6.6,Tidak Bekerja,0.0,Menengah
594.0,3.14,3.18,2.91,2.91,3.47,2.92,3.07,2.74,80.4,82.2,100.0,74.1,88.1,69.8,2.0,3.8,6.5,1.4,6.8,9.1,5.7,Tidak Bekerja,0.0,Tinggi
595.0,2.61,2.9,2.72,1.98,2.57,2.96,2.56,2.56,92.8,86.6,88.5,68.8,89.5,73.9,0.0,5.0,2.9,6.9,8.7,4.7,4.7,Paruh Waktu,15.0,Menengah
596.0,2.69,2.64,2.27,,3.88,2.5,2.53,3.03,79.4,91.7,77.8,100.0,88.4,78.8,1.0,3.8,4.0,7.7,2.5,3.7,3.9,Tidak Bekerja,0.0,Menengah
597.0,2.7,2.44,3.09,3.21,2.71,2.87,1.67,2.54,95.0,80.8,77.6,100.0,100.0,89.7,1.0,7.3,0.5,3.4,4.1,4.5,4.0,Paruh Waktu,14.0,Menengah
598.0,2.55,2.73,2.97,2.48,3.12,3.08,2.51,2.27,85.7,86.0,78.9,82.4,70.8,91.8,1.0,6.4,5.1,6.5,5.3,8.2,2.4,Penuh Waktu,48.0,Rendah
599.0,2.74,2.55,2.67,3.09,3.67,1.91,2.12,2.68,85.5,82.8,79.5,72.7,78.9,93.2,2.0,5.2,6.4,2.6,7.9,3.9,6.0,Tidak Bekerja,0.0,Rendah
600.0,2.23,2.85,2.97,3.01,2.52,3.79,2.1,3.48,97.2,100.0,69.1,76.3,99.9,66.2,1.0,1.8,4.0,5.4,8.2,4.6,3.8,Penuh Waktu,46.0,Rendah
601.0,2.31,2.39,2.74,2.43,2.34,2.72,2.58,2.42,75.5,99.3,73.0,83.3,96.2,93.1,0.0,5.5,3.8,5.0,2.8,4.4,4.4,Tidak Bekerja,0.0,Rendah
602.0,3.51,1.93,3.46,2.29,3.18,3.28,2.97,2.14,87.7,100.0,85.1,84.0,83.0,90.2,0.0,4.8,5.6,4.4,2.9,9.6,4.8,Paruh Waktu,14.0,Rendah
603.0,3.05,2.6,2.45,2.61,2.33,2.29,3.64,3.15,100.0,96.2,79.0,69.6,80.4,85.9,2.0,7.3,4.9,10.9,4.1,6.2,3.8,Tidak Bekerja,0.0,Tinggi
604.0,2.96,2.67,2.39,4.0,2.89,2.04,2.34,2.96,77.7,78.9,94.9,94.0,79.3,96.7,1.0,3.6,8.4,6.1,5.6,4.2,3.8,Penuh Waktu,31.0,Rendah
605.0,3.73,2.58,1.66,2.27,2.42,2.09,2.23,2.85,91.6,64.4,79.7,85.4,74.3,87.4,0.0,4.8,4.1,3.3,5.5,3.5,1.5,Tidak Bekerja,0.0,Menengah
606.0,2.76,2.44,2.56,2.63,3.15,2.68,3.16,3.04,90.7,98.9,73.8,80.3,100.0,82.4,1.0,0.0,4.6,5.3,0.0,7.7,3.6,Penuh Waktu,41.0,Tinggi
607.0,2.36,2.59,2.74,3.38,3.12,3.86,2.25,3.33,93.8,83.8,75.4,78.8,78.4,100.0,0.0,6.7,6.7,5.2,4.5,5.7,5.2,Penuh Waktu,42.0,Rendah
608.0,2.99,2.86,2.36,2.03,2.12,3.35,2.44,2.58,99.5,73.8,77.7,,100.0,100.0,0.0,6.5,6.6,3.8,8.9,5.5,6.7,Penuh Waktu,34.0,Rendah
609.0,2.51,3.31,2.49,2.17,2.8,2.0,3.28,3.05,79.0,80.1,87.5,74.0,77.1,82.7,1.0,2.4,4.1,2.9,7.9,4.2,3.1,Tidak Bekerja,0.0,Menengah
610.0,,3.19,2.59,3.17,2.74,2.81,3.03,2.43,76.9,97.0,90.8,84.3,93.0,90.4,0.0,6.9,2.7,4.9,7.3,8.4,3.9,Paruh Waktu,10.0,Menengah
611.0,1.96,2.67,2.23,2.83,2.6,2.59,3.53,2.79,100.0,89.5,93.2,76.3,,85.2,2.0,7.4,4.3,2.1,5.8,5.1,3.9,Tidak Bekerja,0.0,Rendah
612.0,3.17,3.8,2.82,3.43,2.12,2.39,2.79,2.32,85.4,95.0,76.2,95.5,65.8,79.3,0.0,4.6,3.1,3.9,7.8,7.5,6.4,Tidak Bekerja,0.0,Menengah
613.0,2.34,2.39,3.07,2.34,2.61,2.95,2.62,2.47,72.9,99.5,100.0,88.3,82.7,83.2,0.0,6.7,7.1,3.9,7.1,6.2,7.1,Tidak Bekerja,0.0,Rendah
614.0,2.5,1.73,3.28,3.43,2.63,1.7,2.72,3.79,87.0,92.7,93.3,94.7,100.0,95.8,0.0,4.8,2.8,5.9,4.6,6.4,3.3,Paruh Waktu,16.0,Rendah
615.0,2.77,3.03,3.42,2.44,2.59,2.76,3.2,3.21,82.7,69.9,87.5,75.8,70.1,72.4,4.0,5.7,7.7,5.1,5.4,7.4,1.9,Tidak Bekerja,0.0,Tinggi
616.0,3.01,3.17,2.79,3.0,2.84,2.36,2.23,3.1,100.0,68.7,70.7,70.6,92.8,93.6,1.0,3.0,9.4,4.2,7.9,,3.1,Tidak Bekerja,0.0,Rendah
617.0,2.15,2.66,3.72,3.1,2.47,2.43,2.55,3.79,74.1,85.0,89.7,97.2,81.7,75.4,1.0,5.6,7.6,4.5,3.3,,1.8,Penuh Waktu,35.0,Menengah
618.0,2.72,2.87,2.48,3.87,3.68,2.6,2.45,3.21,72.9,93.5,86.3,70.7,83.5,78.4,1.0,5.3,5.1,2.3,4.3,6.1,6.5,Penuh Waktu,46.0,Menengah
